Total Population,Max Infected,Total Infected,Time to Peak,Percent max infected,Percent total infected,Total Discovered & Isolated,Percent Discovered & Isolated,Discovery Rate
400,72.39999999999999,141.89999999999998,3.5959480572519182,18.099999999999998,35.474999999999994,185.0,46.25,0.6300000000000003
400,70.0,139.5,3.385166893905154,17.5,34.875,175.60000000000002,43.900000000000006,0.6400000000000003
400,80.3,155.39999999999998,3.4887995018665428,20.075,38.849999999999994,194.9,48.725,0.6500000000000004
400,75.7,146.79999999999998,3.170763569053535,18.925,36.699999999999996,190.79999999999998,47.699999999999996,0.6600000000000004
400,76.19999999999999,144.79999999999998,2.7444650863169366,19.049999999999997,36.199999999999996,186.39999999999998,46.599999999999994,0.6700000000000004
400,75.5,132.0,2.6935136833403273,18.875,33.0,174.7,43.675,0.6800000000000004
400,72.9,134.1,3.027146290340423,18.225,33.525,169.0,42.25,0.6900000000000004
400,71.8,130.2,2.6314880870066886,17.95,32.55,169.5,42.375,0.7000000000000004
400,70.5,131.5,2.39836733898845,17.625,32.875,168.00000000000003,42.00000000000001,0.7100000000000004
400,66.9,126.2,3.0352541577842533,16.725,31.55,166.8,41.7,0.7200000000000004
400,65.69999999999999,115.9,2.889238321051629,16.424999999999997,28.975,147.89999999999998,36.974999999999994,0.7300000000000004
400,67.3,122.5,2.7659026539481646,16.825,30.625,166.7,41.675,0.7400000000000004
400,62.40000000000001,110.5,2.4036800232068893,15.600000000000003,27.625,144.10000000000002,36.025000000000006,0.7500000000000004
400,68.9,116.89999999999998,2.91084174353833,17.225,29.224999999999994,154.3,38.575,0.7600000000000005
400,62.699999999999996,109.8,2.723806712566644,15.674999999999999,27.45,141.50000000000003,35.37500000000001,0.7700000000000005
400,62.7,104.39999999999999,2.5525487534486273,15.675,26.099999999999998,138.59999999999997,34.64999999999999,0.7800000000000005
400,68.7,111.5,2.492934137730369,17.175,27.875,149.6,37.4,0.7900000000000005
400,64.3,101.80000000000001,2.0435868857534203,16.075,25.450000000000003,136.1,34.025,0.8000000000000005
400,66.39999999999999,103.9,2.2686834208108126,16.599999999999998,25.975,137.5,34.375,0.8100000000000005
400,70.00000000000001,109.60000000000001,2.172933523105735,17.500000000000004,27.400000000000002,147.5,36.875,0.8200000000000005
400,65.6,104.89999999999999,2.06286821301633,16.4,26.224999999999998,141.9,35.475,0.8300000000000005
400,60.00000000000001,97.9,1.9609851477298874,15.000000000000002,24.475,130.8,32.7,0.8400000000000005
400,68.3,101.5,1.9905799049972293,17.075,25.375,136.4,34.1,0.8500000000000005
400,58.8,89.3,2.3062255812123524,14.7,22.325,118.49999999999999,29.624999999999996,0.8600000000000005
400,75.9,109.89999999999999,2.349394304443171,18.975,27.474999999999998,153.0,38.25,0.8700000000000006
400,71.3,104.39999999999999,2.1909971644342585,17.825,26.099999999999998,138.39999999999998,34.599999999999994,0.8800000000000006
400,64.5,94.1,1.9438099639107522,16.125,23.525,124.89999999999999,31.224999999999998,0.8900000000000006
400,67.4,95.0,2.097532695911064,16.85,23.75,134.3,33.575,0.9000000000000006
400,62.800000000000004,89.5,2.098007829511641,15.700000000000001,22.375,119.4,29.85,0.9100000000000006
400,62.99999999999999,84.0,1.9159210924042196,15.749999999999998,21.0,114.60000000000001,28.650000000000002,0.9200000000000006
